Brand,Name,Audience score,Price,Pace,Arch support,Weight lab Weight brand,Lightweight,Drop lab Drop brand,Strike pattern,Size,Midsole softness,Toebox durability,Heel padding durability,Outsole durability,Breathability,Width / fit,Toebox width,Stiffness,Torsional rigidity,Heel counter stiffness,Plate,Rocker,Heel lab Heel brand,Forefoot lab Forefoot brand,Widths available,Orthotic friendly,Season,Removable insole,Ranking,Popularity,Gender,Terrain
Hoka,Kawana 2,"85
 Good!",$140,Daily running,Neutral,10.5 oz / 298g 11.1 oz / 314g,0,5.2 mm 5.0 mm,Mid/forefoot,True to size,Balanced,Decent,Good,Good,Moderate,Narrow,Narrow,Stiff,Moderate,Stiff,0,0,33.2 mm 30.0 mm,28.0 mm 25.0 mm,Normal,1,All seasons,1,#224 Bottom 38%,#56 Top 16%,,
Hoka,Kawana 2,"85
 Good!",$140,Daily running,Neutral,10.5 oz / 298g 11.1 oz / 314g,0,5.2 mm 5.0 mm,Mid/forefoot,True to size,Balanced,Decent,Good,Good,Moderate,Narrow,Narrow,Stiff,Moderate,Stiff,0,0,33.2 mm 30.0 mm,28.0 mm 25.0 mm,Normal,1,All seasons,1,#225 Bottom 38%,#55 Top 15%,,
Hoka,Kawana 2,"85
 Good!",$140,Daily running,Neutral,10.5 oz / 298g 11.1 oz / 314g,0,5.2 mm 5.0 mm,Mid/forefoot,True to size,Balanced,Decent,Good,Good,Moderate,Narrow,Narrow,Stiff,Moderate,Stiff,0,0,33.2 mm 30.0 mm,28.0 mm 25.0 mm,Normal,1,All seasons,1,#224 Bottom 38%,#55 Top 16%,,
Hoka,Kawana 2,"85
 Good!",$140,Daily running,Neutral,10.5 oz / 298g 11.1 oz / 314g,0,5.2 mm 5.0 mm,Mid/forefoot,True to size,Balanced,Decent,Good,Good,Moderate,Narrow,Narrow,Stiff,Moderate,Stiff,0,0,33.2 mm 30.0 mm,28.0 mm 25.0 mm,Normal,1,All seasons,1,#225 Bottom 38%,#55 Top 16%,,
Hoka,Kawana 2,"85
 Good!",$140,Daily running,Neutral,10.5 oz / 298g 11.1 oz / 314g,0,5.2 mm 5.0 mm,Mid/forefoot,True to size,Balanced,Decent,Good,Good,Moderate,Narrow,Narrow,Stiff,Moderate,Stiff,0,0,33.2 mm 30.0 mm,28.0 mm 25.0 mm,Normal,1,All seasons,1,#224 Bottom 38%,#55 Top 16%,,
Hoka,Kawana 2,"85
 Good!",$140,Daily running,Neutral,10.5 oz / 298g 11.1 oz / 314g,0,5.2 mm 5.0 mm,Mid/forefoot,True to size,Balanced,Decent,Good,Good,Moderate,Narrow,Narrow,Stiff,Moderate,Stiff,0,0,33.2 mm 30.0 mm,28.0 mm 25.0 mm,Normal,1,All seasons,1,#224 Bottom 38%,#55 Top 16%,,
Hoka,Kawana 2,"85
 Good!",$140,Daily running,Neutral,10.5 oz / 298g 11.1 oz / 314g,0,5.2 mm 5.0 mm,Mid/forefoot,True to size,Balanced,Decent,Good,Good,Moderate,Narrow,Narrow,Stiff,Moderate,Stiff,0,0,33.2 mm 30.0 mm,28.0 mm 25.0 mm,Normal,1,All seasons,1,#224 Bottom 38%,#55 Top 16%,,
Saucony,Kinvara 12,"90
 Superb!",$110,Tempo,Neutral,7.7 oz / 218g 7.5 oz / 213g,1,4.6 mm 4.0 mm,Mid/forefoot,True to size,-,-,-,-,-,Medium,-,-,Flexible,-,0,0,26.1 mm 28.5 mm,21.5 mm 24.5 mm,Normal,1,-,1,#114 Top 18%,#540 Bottom 16%,,
Saucony,Kinvara 13,"89
 Great!",$120,Tempo,Neutral,7.2 oz / 204g 7.2 oz / 204g,1,4.5 mm 4.0 mm,Mid/forefoot,Slightly small,Balanced,-,-,-,-,Narrow,-,Moderate,Flexible,Moderate,0,0,26.9 mm 28.5 mm,22.4 mm 24.5 mm,NormalWide,1,-,1,#162 Top 26%,#439 Bottom 31%,,
Saucony,Kinvara 14,"83
 Good!",$120,Tempo,Neutral,6.8 oz / 194g 6.8 oz / 194g,1,4.1 mm 4.0 mm,Mid/forefoot,True to size,Balanced,Bad,-,-,Breathable,Medium,Narrow,Flexible,Flexible,Moderate,0,0,30.3 mm 31.0 mm,26.2 mm 27.0 mm,NormalWide,1,SummerAll seasons,1,#512 Bottom 20%,#358 Bottom 44%,,
Saucony,Kinvara 15,"84
 Good!",$120,Daily runningTempo,Neutral,6.8 oz / 194g 6.7 oz / 190g,1,4.4 mm 4.0 mm,Mid/forefoot,Slightly small,Balanced,Bad,Good,Good,Breathable,Medium,Medium,Flexible,Flexible,Flexible,0,0,27.9 mm 30.0 mm,23.5 mm 26.0 mm,NormalWide,1,SummerAll seasons,1,#243 Bottom 33%,#149 Top 41%,,
Saucony,Kinvara 15,"84
 Good!",$120,Daily runningTempo,Neutral,6.8 oz / 194g 6.7 oz / 190g,1,4.4 mm 4.0 mm,Mid/forefoot,Slightly small,Balanced,Bad,Good,Good,Breathable,Medium,Medium,Flexible,Flexible,Flexible,0,0,27.9 mm 30.0 mm,23.5 mm 26.0 mm,NormalWide,1,SummerAll seasons,1,#244 Bottom 33%,#149 Top 41%,,
Saucony,Kinvara 15,"84
 Good!",$120,Daily runningTempo,Neutral,6.8 oz / 194g 6.7 oz / 190g,1,4.4 mm 4.0 mm,Mid/forefoot,Slightly small,Balanced,Bad,Good,Good,Breathable,Medium,Medium,Flexible,Flexible,Flexible,0,0,27.9 mm 30.0 mm,23.5 mm 26.0 mm,NormalWide,1,SummerAll seasons,1,#245 Bottom 33%,#150 Top 41%,,
Saucony,Kinvara 15,"84
 Good!",$120,Daily runningTempo,Neutral,6.8 oz / 194g 6.7 oz / 190g,1,4.4 mm 4.0 mm,Mid/forefoot,Slightly small,Balanced,Bad,Good,Good,Breathable,Medium,Medium,Flexible,Flexible,Flexible,0,0,27.9 mm 30.0 mm,23.5 mm 26.0 mm,NormalWide,1,SummerAll seasons,1,#244 Bottom 33%,#149 Top 41%,,
Saucony,Kinvara 15,"84
 Good!",$120,Daily runningTempo,Neutral,6.8 oz / 194g 6.7 oz / 190g,1,4.4 mm 4.0 mm,Mid/forefoot,Slightly small,Balanced,Bad,Good,Good,Breathable,Medium,Medium,Flexible,Flexible,Flexible,0,0,27.9 mm 30.0 mm,23.5 mm 26.0 mm,NormalWide,1,SummerAll seasons,1,#244 Bottom 33%,#149 Top 41%,,
Saucony,Kinvara 15,"84
 Good!",$120,Daily runningTempo,Neutral,6.8 oz / 194g 6.7 oz / 190g,1,4.4 mm 4.0 mm,Mid/forefoot,Slightly small,Balanced,Bad,Good,Good,Breathable,Medium,Medium,Flexible,Flexible,Flexible,0,0,27.9 mm 30.0 mm,23.5 mm 26.0 mm,NormalWide,1,SummerAll seasons,1,#244 Bottom 33%,#149 Top 41%,,
Saucony,Kinvara Pro,"89
 Great!",$180,Daily runningTempo,Neutral,9.9 oz / 281g 9.5 oz / 269g,0,10.3 mm 8.0 mm,Heel,True to size,Balanced,Good,Good,Good,Warm,Medium,Narrow,Stiff,Stiff,Moderate,Carbon plate,0,45.6 mm 42.0 mm,35.3 mm 34.0 mm,NormalWide,1,All seasons,1,#72 Top 20%,#213 Bottom 41%,,
Brooks,Launch 10,"87
 Great!",$110,Daily runningTempo,Neutral,8.1 oz / 230g 8.2 oz / 232g,1,10.0 mm 10.0 mm,HeelMid/forefoot,True to size,Soft,Decent,Good,Good,Moderate,Medium,Medium,Moderate,Moderate,Moderate,0,0,33.8 mm 34.0 mm,23.8 mm 24.0 mm,Normal,1,All seasons,1,#338 Bottom 47%,#280 Top 44%,,
Brooks,Launch 11,"83
 Good!",$120,Daily runningTempo,Neutral,8.4 oz / 237g 7.7 oz / 218g,1,9.5 mm 8.0 mm,HeelMid/forefoot,True to size,Balanced,Decent,Bad,Good,Moderate,Medium,Medium,Moderate,Stiff,Stiff,0,0,33.5 mm 35.5 mm,24.0 mm 27.5 mm,NormalWide,1,All seasons,1,#249 Bottom 31%,#103 Top 29%,,
Brooks,Launch 11,"83
 Good!",$120,Daily runningTempo,Neutral,8.4 oz / 237g 7.7 oz / 218g,1,9.5 mm 8.0 mm,HeelMid/forefoot,True to size,Balanced,Decent,Bad,Good,Moderate,Medium,Medium,Moderate,Stiff,Stiff,0,0,33.5 mm 35.5 mm,24.0 mm 27.5 mm,NormalWide,1,All seasons,1,#249 Bottom 31%,#104 Top 29%,,
Brooks,Launch 11,"83
 Good!",$120,Daily runningTempo,Neutral,8.4 oz / 237g 7.7 oz / 218g,1,9.5 mm 8.0 mm,HeelMid/forefoot,True to size,Balanced,Decent,Bad,Good,Moderate,Medium,Medium,Moderate,Stiff,Stiff,0,0,33.5 mm 35.5 mm,24.0 mm 27.5 mm,NormalWide,1,All seasons,1,#249 Bottom 31%,#104 Top 29%,,
Brooks,Launch 11,"83
 Good!",$120,Daily runningTempo,Neutral,8.4 oz / 237g 7.7 oz / 218g,1,9.5 mm 8.0 mm,HeelMid/forefoot,True to size,Balanced,Decent,Bad,Good,Moderate,Medium,Medium,Moderate,Stiff,Stiff,0,0,33.5 mm 35.5 mm,24.0 mm 27.5 mm,NormalWide,1,All seasons,1,#249 Bottom 31%,#104 Top 29%,,
Brooks,Launch 8,"90
 Superb!",$100,Daily runningTempo,Neutral,8.5 oz / 240g 8.8 oz / 249g,1,9.6 mm 10.0 mm,HeelMid/forefoot,True to size,-,-,-,-,-,Narrow,-,-,Moderate,-,0,0,30.5 mm 26.0 mm,20.9 mm 16.0 mm,Normal,1,-,1,#69 Top 11%,#411 Bottom 36%,,
Brooks,Launch GTS 10,"84
 Good!",$110,Daily runningTempo,Stability,8.5 oz / 241g 8.4 oz / 238g,1,12.2 mm 10.0 mm,Heel,True to size,Soft,Decent,Good,Good,Moderate,Medium,Medium,Stiff,Stiff,Moderate,0,0,35.4 mm 34.0 mm,23.2 mm 24.0 mm,NormalWide,1,All seasons,1,#239 Bottom 34%,#295 Bottom 19%,,
Brooks,Launch GTS 9,"87
 Great!",$110,Daily runningTempo,Stability,8.6 oz / 245g 8.7 oz / 246g,1,10.4 mm 10.0 mm,Heel,True to size,Balanced,Decent,Good,Good,Warm,Narrow,Medium,Stiff,Stiff,Stiff,0,0,33.8 mm 36.0 mm,23.4 mm 26.0 mm,Normal,1,All seasons,1,#306 Top 48%,#566 Bottom 12%,,
Brooks,Levitate 5,"88
 Great!",$150,Daily running,Neutral,10.7 oz / 304g 11 oz / 311g,0,9.1 mm 8.0 mm,HeelMid/forefoot,-,-,-,-,-,-,Medium,-,Stiff,Moderate,Stiff,0,0,31.4 mm 29.0 mm,22.3 mm 21.0 mm,Normal,1,-,1,#285 Top 45%,#495 Bottom 23%,,
Brooks,Levitate 6,"90
 Superb!",$150,Daily running,Neutral,10.7 oz / 304g 10.9 oz / 309g,0,7.7 mm 8.0 mm,Mid/forefoot,True to size,Soft,Good,Good,Good,Breathable,Narrow,Medium,Stiff,Moderate,Moderate,0,0,34.3 mm 32.5 mm,26.6 mm 24.5 mm,Normal,1,SummerAll seasons,1,#71 Top 20%,#256 Bottom 30%,,
Brooks,Levitate 6,"90
 Superb!",$150,Daily running,Neutral,10.7 oz / 304g 10.9 oz / 309g,0,7.7 mm 8.0 mm,Mid/forefoot,True to size,Soft,Good,Good,Good,Breathable,Narrow,Medium,Stiff,Moderate,Moderate,0,0,34.3 mm 32.5 mm,26.6 mm 24.5 mm,Normal,1,SummerAll seasons,1,#71 Top 20%,#256 Bottom 30%,,
Brooks,Levitate 6,"90
 Superb!",$150,Daily running,Neutral,10.7 oz / 304g 10.9 oz / 309g,0,7.7 mm 8.0 mm,Mid/forefoot,True to size,Soft,Good,Good,Good,Breathable,Narrow,Medium,Stiff,Moderate,Moderate,0,0,34.3 mm 32.5 mm,26.6 mm 24.5 mm,Normal,1,SummerAll seasons,1,#71 Top 20%,#255 Bottom 30%,,
Brooks,Levitate 6,"90
 Superb!",$150,Daily running,Neutral,10.7 oz / 304g 10.9 oz / 309g,0,7.7 mm 8.0 mm,Mid/forefoot,True to size,Soft,Good,Good,Good,Breathable,Narrow,Medium,Stiff,Moderate,Moderate,0,0,34.3 mm 32.5 mm,26.6 mm 24.5 mm,Normal,1,SummerAll seasons,1,#71 Top 20%,#255 Bottom 30%,,
Brooks,Levitate 6,"90
 Superb!",$150,Daily running,Neutral,10.7 oz / 304g 10.9 oz / 309g,0,7.7 mm 8.0 mm,Mid/forefoot,True to size,Soft,Good,Good,Good,Breathable,Narrow,Medium,Stiff,Moderate,Moderate,0,0,34.3 mm 32.5 mm,26.6 mm 24.5 mm,Normal,1,SummerAll seasons,1,#71 Top 20%,#255 Bottom 30%,,
Brooks,Levitate 6,"90
 Superb!",$150,Daily running,Neutral,10.7 oz / 304g 10.9 oz / 309g,0,7.7 mm 8.0 mm,Mid/forefoot,True to size,Soft,Good,Good,Good,Breathable,Narrow,Medium,Stiff,Moderate,Moderate,0,0,34.3 mm 32.5 mm,26.6 mm 24.5 mm,Normal,1,SummerAll seasons,1,#71 Top 20%,#255 Bottom 30%,,
Brooks,Levitate 6,"90
 Superb!",$150,Daily running,Neutral,10.7 oz / 304g 10.9 oz / 309g,0,7.7 mm 8.0 mm,Mid/forefoot,True to size,Soft,Good,Good,Good,Breathable,Narrow,Medium,Stiff,Moderate,Moderate,0,0,34.3 mm 32.5 mm,26.6 mm 24.5 mm,Normal,1,SummerAll seasons,1,#71 Top 20%,#255 Bottom 30%,,
Brooks,Levitate 6,"90
 Superb!",$150,Daily running,Neutral,10.7 oz / 304g 10.9 oz / 309g,0,7.7 mm 8.0 mm,Mid/forefoot,True to size,Soft,Good,Good,Good,Breathable,Narrow,Medium,Stiff,Moderate,Moderate,0,0,34.3 mm 32.5 mm,26.6 mm 24.5 mm,Normal,1,SummerAll seasons,1,#72 Top 20%,#255 Bottom 30%,,
Brooks,Levitate 6,"90
 Superb!",$150,Daily running,Neutral,10.7 oz / 304g 10.9 oz / 309g,0,7.7 mm 8.0 mm,Mid/forefoot,True to size,Soft,Good,Good,Good,Breathable,Narrow,Medium,Stiff,Moderate,Moderate,0,0,34.3 mm 32.5 mm,26.6 mm 24.5 mm,Normal,1,SummerAll seasons,1,#72 Top 20%,#255 Bottom 30%,,
Brooks,Levitate 6,"90
 Superb!",$150,Daily running,Neutral,10.7 oz / 304g 10.9 oz / 309g,0,7.7 mm 8.0 mm,Mid/forefoot,True to size,Soft,Good,Good,Good,Breathable,Narrow,Medium,Stiff,Moderate,Moderate,0,0,34.3 mm 32.5 mm,26.6 mm 24.5 mm,Normal,1,SummerAll seasons,1,#72 Top 20%,#255 Bottom 30%,,
Brooks,Levitate 6,"90
 Superb!",$150,Daily running,Neutral,10.7 oz / 304g 10.9 oz / 309g,0,7.7 mm 8.0 mm,Mid/forefoot,True to size,Soft,Good,Good,Good,Breathable,Narrow,Medium,Stiff,Moderate,Moderate,0,0,34.3 mm 32.5 mm,26.6 mm 24.5 mm,Normal,1,SummerAll seasons,1,#72 Top 20%,#255 Bottom 30%,,
Brooks,Levitate Stealthfit 5,"83
 Good!",$150,Daily running,Neutral,10.1 oz / 285g 9.8 oz / 278g,0,9.5 mm 8.0 mm,HeelMid/forefoot,-,Soft,Good,Good,Good,Warm,Narrow,Wide,Stiff,Flexible,Moderate,0,0,28.0 mm 29.0 mm,18.5 mm 21.0 mm,Normal,1,Winter,1,#496 Bottom 23%,#589 Bottom 8%,,
Brooks,Levitate Stealthfit 6,"83
 Good!",$150,Daily running,Neutral,9.9 oz / 281g 9.9 oz / 280g,0,7.5 mm 8.0 mm,Mid/forefoot,-,Balanced,Good,Good,Good,Warm,Narrow,Medium,Stiff,Moderate,Moderate,0,0,32.9 mm 33.0 mm,25.4 mm 25.0 mm,Normal,1,All seasons,1,#266 Bottom 27%,#277 Bottom 24%,,
Reebok,Lite 3,"80
 Good!",$65,Daily running,Neutral,8.7 oz / 248g 10.2 oz / 289g,1,13.4 mm,Heel,True to size,Balanced,-,-,-,Warm,Medium,-,Stiff,Flexible,Flexible,0,0,32.7 mm,19.3 mm,Normal,0,All seasons,0,#305 Bottom 16%,#355 Bottom 3%,,
Reebok,Lite 3,"80
 Good!",$65,Daily running,Neutral,8.7 oz / 248g 10.2 oz / 289g,1,13.4 mm,Heel,True to size,Balanced,-,-,-,Warm,Medium,-,Stiff,Flexible,Flexible,0,0,32.7 mm,19.3 mm,Normal,0,All seasons,0,#305 Bottom 16%,#354 Bottom 3%,,
Hoka,Mach 4,"91
 Superb!",$130,Daily runningTempo,Neutral,7.9 oz / 223g 8.2 oz / 232g,1,4.9 mm 5.0 mm,Mid/forefoot,True to size,-,-,-,-,-,Narrow,-,-,Moderate,-,0,1,30.6 mm 29.0 mm,25.7 mm 24.0 mm,Normal,1,-,1,#48 Top 8%,#209 Top 33%,,
Hoka,Mach 5,"90
 Superb!",$140,Daily runningTempo,Neutral,7.9 oz / 225g 8.2 oz / 232g,1,5.7 mm 5.0 mm,Mid/forefoot,True to size,Soft,-,-,-,Moderate,Narrow,-,Flexible,Flexible,Moderate,0,1,30.7 mm 29.0 mm,25.0 mm 24.0 mm,NormalWide,1,All seasons,1,#121 Top 19%,#134 Top 21%,,
Hoka,Mach 6,"87
 Great!",$140,Daily running,Neutral,8.2 oz / 232g 8.3 oz / 235g,1,9.6 mm 5.0 mm,HeelMid/forefoot,True to size,Balanced,Decent,Bad,Good,Breathable,Medium,Narrow,Moderate,Stiff,Stiff,0,1,36.0 mm 37.0 mm,26.4 mm 32.0 mm,NormalWide,1,SummerAll seasons,1,#153 Top 42%,#13 Top 4%,,
Hoka,Mach 6,"87
 Great!",$140,Daily running,Neutral,8.2 oz / 232g 8.3 oz / 235g,1,9.6 mm 5.0 mm,HeelMid/forefoot,True to size,Balanced,Decent,Bad,Good,Breathable,Medium,Narrow,Moderate,Stiff,Stiff,0,1,36.0 mm 37.0 mm,26.4 mm 32.0 mm,NormalWide,1,SummerAll seasons,1,#153 Top 42%,#13 Top 4%,,Road
Hoka,Mach 6,"87
 Great!",$140,Daily running,Neutral,8.2 oz / 232g 8.3 oz / 235g,1,9.6 mm 5.0 mm,HeelMid/forefoot,True to size,Balanced,Decent,Bad,Good,Breathable,Medium,Narrow,Moderate,Stiff,Stiff,0,1,36.0 mm 37.0 mm,26.4 mm 32.0 mm,NormalWide,1,SummerAll seasons,1,#153 Top 42%,#13 Top 4%,,
Hoka,Mach 6,"87
 Great!",$140,Daily running,Neutral,8.2 oz / 232g 8.3 oz / 235g,1,9.6 mm 5.0 mm,HeelMid/forefoot,True to size,Balanced,Decent,Bad,Good,Breathable,Medium,Narrow,Moderate,Stiff,Stiff,0,1,36.0 mm 37.0 mm,26.4 mm 32.0 mm,NormalWide,1,SummerAll seasons,1,#155 Top 43%,#13 Top 4%,,
Hoka,Mach 6,"87
 Great!",$140,Daily running,Neutral,8.2 oz / 232g 8.3 oz / 235g,1,9.6 mm 5.0 mm,HeelMid/forefoot,True to size,Balanced,Decent,Bad,Good,Breathable,Medium,Narrow,Moderate,Stiff,Stiff,0,1,36.0 mm 37.0 mm,26.4 mm 32.0 mm,NormalWide,1,SummerAll seasons,1,#155 Top 43%,#13 Top 4%,,
Hoka,Mach 6,"87
 Great!",$140,Daily running,Neutral,8.2 oz / 232g 8.3 oz / 235g,1,9.6 mm 5.0 mm,HeelMid/forefoot,True to size,Balanced,Decent,Bad,Good,Breathable,Medium,Narrow,Moderate,Stiff,Stiff,0,1,36.0 mm 37.0 mm,26.4 mm 32.0 mm,NormalWide,1,SummerAll seasons,1,#154 Top 43%,#13 Top 4%,,
HOKA,Mach X 3,"74
 Bad!",$190,Daily runningTempo,Neutral,9.3 oz / 264g 8.9 oz / 252g,0,9.5 mm 5.0 mm,HeelMid/forefoot,-,Soft,Decent,Good,Good,Moderate,Narrow,Narrow,Stiff,Stiff,Flexible,0,1,42.9 mm 44.0 mm,33.4 mm 39.0 mm,NormalWide,1,All seasons,1,#351 Bottom 4%,#73 Top 20%,,
ASICS,Magic Speed,"90
 Superb!",$150,Tempo,Neutral,8.2 oz / 233g 7.9 oz / 224g,1,8.3 mm 5.0 mm,HeelMid/forefoot,True to size,Balanced,-,-,-,Breathable,Narrow,-,Stiff,Stiff,Flexible,Carbon plate,1,32.5 mm 29.0 mm,24.2 mm 24.0 mm,NarrowNormal,0,SummerAll seasons,0,#122 Top 19%,#273 Top 43%,,
ASICS,Magic Speed 2,"89
 Great!",$150,Tempo,Neutral,8 oz / 228g 8.1 oz / 230g,1,8.7 mm 7.0 mm,HeelMid/forefoot,True to size,-,-,-,-,Breathable,Narrow,-,Stiff,Stiff,Flexible,Carbon plate,1,35.1 mm 31.0 mm,26.4 mm 24.0 mm,Normal,0,SummerAll seasons,0,#176 Top 28%,#565 Bottom 12%,,
ASICS,Magic Speed 3,"91
 Superb!",$160,Tempo,Neutral,7.4 oz / 211g 7.8 oz / 220g,1,9.8 mm 7.0 mm,HeelMid/forefoot,Slightly small,Soft,Bad,Decent,Good,Moderate,Narrow,Medium,Stiff,Stiff,Flexible,Carbon plate,1,36.3 mm 36.0 mm,26.5 mm 29.0 mm,Normal,1,All seasons,1,#31 Top 5%,#332 Bottom 48%,,
ASICS,Magic Speed 4,"92
 Superb!",$170,CompetitionTempo,Neutral,8.4 oz / 237g 8.5 oz / 242g,1,9.6 mm 8.0 mm,HeelMid/forefoot,True to size,Soft,Good,Good,Good,Breathable,Medium,Medium,Stiff,Stiff,Flexible,Carbon plate,1,42.5 mm 43.5 mm,32.9 mm 35.5 mm,NormalWide,1,SummerAll seasons,1,#6 Top 2%,#82 Top 23%,,
