Brand,Name,Audience score,Price,Trail terrain,Arch support,Weight lab Weight brand,Lightweight,Drop lab Drop brand,Strike pattern,Size,Midsole softness,Plate,Toebox durability,Heel padding durability,Outsole durability,Breathability,Width / fit,Toebox width,Stiffness,Torsional rigidity,Heel counter stiffness,Lug depth,Heel stack lab Heel stack brand,Forefoot lab Forefoot brand,Widths available,For heavy runners,Season,Removable insole,Orthotic friendly,Waterproofing,Ranking,Popularity
Merrell,Agility Peak 5 GTX,"81
 Good!",$170,ModerateTechnical,Neutral,10.4 oz / 296g 10.7 oz / 303g,0,11.6 mm 6.0 mm,Heel,True to size,Balanced,Rock plate,Good,Bad,Decent,Warm,Narrow,Medium,Stiff,Stiff,Stiff,4.4 mm,37.3 mm 39.0 mm,25.7 mm 33.0 mm,Normal,0,Winter,1,1,Waterproof,#298 Bottom 19%,#255 Bottom 30%
Merrell,Antora 3,"83
 Good!",$125,Light,Neutral,10.1 oz / 285g,0,9.1 mm,HeelMid/forefoot,True to size,Balanced,Rock plate,Decent,Bad,Good,Breathable,Narrow,Medium,Moderate,Stiff,Moderate,3.4 mm,33.5 mm,24.4 mm,Normal,0,SummerAll seasons,1,1,-,#269 Bottom 26%,#231 Bottom 37%
Merrell,Fly Strike,"79
 Good!",$90,Light,Neutral,10.3 oz / 292g 10.4 oz / 295g,0,17.3 mm 10.0 mm,Heel,True to size,Balanced,0,Good,Decent,Decent,Moderate,Narrow,Wide,Stiff,Stiff,Moderate,3.5 mm,34.3 mm 27.0 mm,17.0 mm 17.0 mm,NormalWide,0,All seasons,1,1,-,#316 Bottom 14%,#273 Bottom 25%
Merrell,Moab Flight,"89
 Great!",$110,Light,Neutral,9.6 oz / 271g 10.6 oz / 300g,0,13.5 mm 10.0 mm,Heel,True to size,Balanced,0,Good,Good,Good,Warm,Medium,Medium,Moderate,Stiff,Moderate,2.9 mm,32.6 mm 29.0 mm,19.1 mm 19.0 mm,NormalWide,0,All seasons,1,1,-,#91 Top 25%,#307 Bottom 16%
Merrell,Morphlite,"87
 Great!",$100,Light,Neutral,8.4 oz / 237g 8.6 oz / 243g,1,11.0 mm 6.0 mm,Heel,True to size,Soft,0,Bad,Decent,Decent,Moderate,Narrow,Medium,Moderate,Stiff,Flexible,2.0 mm,32.3 mm 26.0 mm,21.3 mm 20.0 mm,NormalWide,0,All seasons,1,1,-,#148 Top 41%,#292 Bottom 20%
Merrell,Nova 2,"85
 Good!",$110,ModerateTechnical,Neutral,10.3 oz / 293g 9.9 oz / 280g,0,9.3 mm 8.0 mm,HeelMid/forefoot,-,-,Rock plate,-,-,-,-,Narrow,-,Stiff,-,-,4.2 mm,35.1 mm 29.0 mm,25.8 mm 21.0 mm,NormalWide,0,-,0,0,-,#424 Bottom 34%,#470 Bottom 27%
Merrell,Nova 3,"80
 Good!",$125,LightModerate,Neutral,10.8 oz / 305g 10.4 oz / 295g,0,9.9 mm 8.0 mm,HeelMid/forefoot,True to size,Balanced,Rock plate,Decent,Decent,Good,Moderate,Narrow,Medium,Moderate,Stiff,Flexible,3.5 mm,34.1 mm 29.0 mm,24.2 mm 21.0 mm,NormalWide,0,All seasons,1,1,-,#574 Bottom 11%,#322 Top 50%
Merrell,Nova 4,"86
 Good!",$130,LightModerate,Neutral,9.6 oz / 272g 9.7 oz / 275g,0,12.1 mm 8.0 mm,Heel,-,Balanced,0,Decent,Decent,Decent,Moderate,Medium,Medium,Moderate,Stiff,Flexible,4.0 mm,37.7 mm 29.0 mm,25.6 mm 21.0 mm,NormalWide,0,All seasons,1,1,-,#192 Bottom 47%,#193 Bottom 47%
Merrell,Nova 4,"86
 Good!",$130,LightModerate,Neutral,9.6 oz / 272g 9.7 oz / 275g,0,12.1 mm 8.0 mm,Heel,-,Balanced,0,Decent,Decent,Decent,Moderate,Medium,Medium,Moderate,Stiff,Flexible,4.0 mm,37.7 mm 29.0 mm,25.6 mm 21.0 mm,NormalWide,0,All seasons,1,1,-,#193 Bottom 47%,#193 Bottom 47%
Merrell,Trail Glove 7,"84
 Good!",$120,Light,Neutral,7.8 oz / 221g 9 oz / 255g,1,0.1 mm 0.0 mm,Mid/forefoot,True to size,Balanced,0,Decent,Bad,Decent,Moderate,Medium,Wide,Moderate,Flexible,Flexible,2.5 mm,16.1 mm 14.0 mm,16.0 mm 14.0 mm,Normal,0,All seasons,0,0,-,#225 Bottom 38%,#161 Top 44%
new Balance, Foam X Hierro v8,"82
 Good!",$150,LightModerate,Neutral,10.5 oz / 298g 11 oz / 311g,0,8.1 mm 6.0 mm,HeelMid/forefoot,Slightly small,Soft,0,Very bad,Decent,Good,Warm,Medium,Medium,Moderate,Flexible,Moderate,4.0 mm,32.2 mm 37.0 mm,24.1 mm 31.0 mm,NormalWideX-Wide,0,All seasons,1,1,-,#513 Bottom 20%,#97 Top 15%
New Balance,510 v6,"74
 Bad!",$90,Light,Neutral,11 oz / 312g 11.5 oz / 326g,0,8.2 mm,HeelMid/forefoot,True to size,Balanced,0,Decent,Bad,Good,Moderate,Narrow,Medium,Stiff,Moderate,Moderate,2.9 mm,33.8 mm,25.6 mm,NormalWideX-Wide,0,All seasons,1,1,-,#355 Bottom 3%,#318 Bottom 13%
New Balance,510 v6,"74
 Bad!",$90,Light,Neutral,11 oz / 312g 11.5 oz / 326g,0,8.2 mm,HeelMid/forefoot,True to size,Balanced,0,Decent,Bad,Good,Moderate,Narrow,Medium,Stiff,Moderate,Moderate,2.9 mm,33.8 mm,25.6 mm,NormalWideX-Wide,0,All seasons,1,1,-,#355 Bottom 3%,#318 Bottom 13%
New Balance,510 v6,"74
 Bad!",$90,Light,Neutral,11 oz / 312g 11.5 oz / 326g,0,8.2 mm,HeelMid/forefoot,True to size,Balanced,0,Decent,Bad,Good,Moderate,Narrow,Medium,Stiff,Moderate,Moderate,2.9 mm,33.8 mm,25.6 mm,NormalWideX-Wide,0,All seasons,1,1,-,#355 Bottom 3%,#318 Bottom 13%
New Balance,510 v6,"74
 Bad!",$90,Light,Neutral,11 oz / 312g 11.5 oz / 326g,0,8.2 mm,HeelMid/forefoot,True to size,Balanced,0,Decent,Bad,Good,Moderate,Narrow,Medium,Stiff,Moderate,Moderate,2.9 mm,33.8 mm,25.6 mm,NormalWideX-Wide,0,All seasons,1,1,-,#355 Bottom 3%,#318 Bottom 13%
New Balance,510 v6,"74
 Bad!",$90,Light,Neutral,11 oz / 312g 11.5 oz / 326g,0,8.2 mm,HeelMid/forefoot,True to size,Balanced,0,Decent,Bad,Good,Moderate,Narrow,Medium,Stiff,Moderate,Moderate,2.9 mm,33.8 mm,25.6 mm,NormalWideX-Wide,0,All seasons,1,1,-,#355 Bottom 3%,#318 Bottom 13%
New Balance,510 v6,"74
 Bad!",$90,Light,Neutral,11 oz / 312g 11.5 oz / 326g,0,8.2 mm,HeelMid/forefoot,True to size,Balanced,0,Decent,Bad,Good,Moderate,Narrow,Medium,Stiff,Moderate,Moderate,2.9 mm,33.8 mm,25.6 mm,NormalWideX-Wide,0,All seasons,1,1,-,#355 Bottom 3%,#318 Bottom 13%
New Balance,510 v6,"74
 Bad!",$90,Light,Neutral,11 oz / 312g 11.5 oz / 326g,0,8.2 mm,HeelMid/forefoot,True to size,Balanced,0,Decent,Bad,Good,Moderate,Narrow,Medium,Stiff,Moderate,Moderate,2.9 mm,33.8 mm,25.6 mm,NormalWideX-Wide,0,All seasons,1,1,-,#354 Bottom 3%,#318 Bottom 13%
New Balance,510 v6,"74
 Bad!",$90,Light,Neutral,11 oz / 312g 11.5 oz / 326g,0,8.2 mm,HeelMid/forefoot,True to size,Balanced,0,Decent,Bad,Good,Moderate,Narrow,Medium,Stiff,Moderate,Moderate,2.9 mm,33.8 mm,25.6 mm,NormalWideX-Wide,0,All seasons,1,1,-,#355 Bottom 3%,#318 Bottom 13%
New Balance,510 v6,"74
 Bad!",$90,Light,Neutral,11 oz / 312g 11.5 oz / 326g,0,8.2 mm,HeelMid/forefoot,True to size,Balanced,0,Decent,Bad,Good,Moderate,Narrow,Medium,Stiff,Moderate,Moderate,2.9 mm,33.8 mm,25.6 mm,NormalWideX-Wide,0,All seasons,1,1,-,#355 Bottom 3%,#318 Bottom 13%
New Balance,510 v6,"74
 Bad!",$90,Light,Neutral,11 oz / 312g 11.5 oz / 326g,0,8.2 mm,HeelMid/forefoot,True to size,Balanced,0,Decent,Bad,Good,Moderate,Narrow,Medium,Stiff,Moderate,Moderate,2.9 mm,33.8 mm,25.6 mm,NormalWideX-Wide,0,All seasons,1,1,-,#354 Bottom 3%,#318 Bottom 13%
New Balance,DynaSoft Nitrel v5,"77
 Decent!",$75,Light,Neutral,9.8 oz / 279g 10.3 oz / 292g,0,6.7 mm 6.0 mm,Mid/forefoot,Slightly small,Balanced,0,Very bad,Bad,Good,Moderate,Narrow,Wide,Stiff,Moderate,Flexible,2.9 mm,29.8 mm 29.0 mm,23.1 mm 23.0 mm,NormalWideX-Wide,0,All seasons,1,1,-,#602 Bottom 6%,#490 Bottom 24%
New Balance,DynaSoft Nitrel v6,"75
 Bad!",$75,Light,Neutral,10.3 oz / 291g 10.1 oz / 285g,0,2.5 mm 6.0 mm,Mid/forefoot,True to size,Balanced,0,Decent,Decent,Good,Moderate,Medium,Medium,Moderate,Flexible,Moderate,2.7 mm,22.7 mm 27.0 mm,20.2 mm 21.0 mm,NormalWideX-Wide,0,All seasons,1,1,-,#351 Bottom 4%,#187 Bottom 49%
New Balance,DynaSoft Nitrel v6,"75
 Bad!",$75,Light,Neutral,10.3 oz / 291g 10.1 oz / 285g,0,2.5 mm 6.0 mm,Mid/forefoot,True to size,Balanced,0,Decent,Decent,Good,Moderate,Medium,Medium,Moderate,Flexible,Moderate,2.7 mm,22.7 mm 27.0 mm,20.2 mm 21.0 mm,NormalWideX-Wide,0,All seasons,1,1,-,#351 Bottom 4%,#187 Bottom 49%
New Balance,DynaSoft Nitrel v6,"75
 Bad!",$75,Light,Neutral,10.3 oz / 291g 10.1 oz / 285g,0,2.5 mm 6.0 mm,Mid/forefoot,True to size,Balanced,0,Decent,Decent,Good,Moderate,Medium,Medium,Moderate,Flexible,Moderate,2.7 mm,22.7 mm 27.0 mm,20.2 mm 21.0 mm,NormalWideX-Wide,0,All seasons,1,1,-,#351 Bottom 4%,#187 Bottom 49%
New Balance,DynaSoft Nitrel v6,"75
 Bad!",$75,Light,Neutral,10.3 oz / 291g 10.1 oz / 285g,0,2.5 mm 6.0 mm,Mid/forefoot,True to size,Balanced,0,Decent,Decent,Good,Moderate,Medium,Medium,Moderate,Flexible,Moderate,2.7 mm,22.7 mm 27.0 mm,20.2 mm 21.0 mm,NormalWideX-Wide,0,All seasons,1,1,-,#352 Bottom 4%,#187 Bottom 49%
new Balance,Fresh Foam Hierro v6,"89
 Great!",$135,LightModerate,Neutral,11.4 oz / 323g 11.9 oz / 337g,0,9.2 mm 8.0 mm,HeelMid/forefoot,True to size,-,0,-,-,-,Warm,Medium,-,Stiff,Stiff,Stiff,3.3 mm,26.9 mm 28.0 mm,17.7 mm 20.0 mm,Normal,0,All seasons,1,1,-,#197 Top 31%,#345 Bottom 46%
New Balance,Fresh Foam X Garoe v2,"90
 Superb!",$110,Light,Neutral,9.5 oz / 269g 10.5 oz / 298g,0,11.0 mm 8.0 mm,Heel,-,Soft,0,Decent,Decent,Good,Moderate,Narrow,Medium,Stiff,Stiff,Stiff,3.2 mm,38.4 mm,27.4 mm,NormalWideX-Wide,0,All seasons,1,1,-,#50 Top 14%,#129 Top 36%
New Balance,Fresh Foam X Hierro v7,"86
 Good!",$140,LightModerate,Neutral,10.5 oz / 297g 10.5 oz / 297g,0,9.9 mm 8.0 mm,HeelMid/forefoot,True to size,Soft,0,-,-,-,Moderate,Narrow,Wide,Moderate,Flexible,Flexible,3.0 mm,32.4 mm 29.0 mm,22.5 mm 21.0 mm,NormalWideX-Wide,0,All seasons,1,1,-,#370 Bottom 42%,#150 Top 24%
New Balance,Fresh Foam X Hierro v9,"84
 Good!",$155,Light,Neutral,10.9 oz / 309g 10.5 oz / 297g,0,4.2 mm 4.0 mm,Mid/forefoot,Half size small,Soft,0,Good,Good,Good,Moderate,Medium,Medium,Stiff,Stiff,Moderate,3.3 mm,37.3 mm 33.0 mm,33.1 mm 29.0 mm,NormalWideX-Wide,0,All seasons,1,1,-,#234 Bottom 36%,#28 Top 8%
New Balance,Fresh Foam X Hierro v9,"84
 Good!",$155,Light,Neutral,10.9 oz / 309g 10.5 oz / 297g,0,4.2 mm 4.0 mm,Mid/forefoot,Half size small,Soft,0,Good,Good,Good,Moderate,Medium,Medium,Stiff,Stiff,Moderate,3.3 mm,37.3 mm 33.0 mm,33.1 mm 29.0 mm,NormalWideX-Wide,0,All seasons,1,1,-,#234 Bottom 36%,#28 Top 8%
new Balance,Fresh Foam X Hierro v9,"84
 Good!",$155,Light,Neutral,10.9 oz / 309g 10.5 oz / 297g,0,4.2 mm 4.0 mm,Mid/forefoot,Half size small,Soft,0,Good,Good,Good,Moderate,Medium,Medium,Stiff,Stiff,Moderate,3.3 mm,37.3 mm 33.0 mm,33.1 mm 29.0 mm,NormalWideX-Wide,0,All seasons,1,1,-,#234 Bottom 36%,#28 Top 8%
New Balance,Fresh Foam X More Trail v3,"87
 Great!",$160,ModerateTechnical,Neutral,10.6 oz / 301g 10.6 oz / 301g,0,7.1 mm 4.0 mm,Mid/forefoot,True to size,Soft,0,Very bad,Decent,-,Moderate,Medium,Narrow,Moderate,Moderate,Moderate,5.0 mm,38.6 mm 39.4 mm,31.5 mm 35.4 mm,NormalWide,0,All seasons,1,1,-,#159 Top 44%,#22 Top 6%
New Balance,Fresh Foam X More Trail v3,"87
 Great!",$160,ModerateTechnical,Neutral,10.6 oz / 301g 10.6 oz / 301g,0,7.1 mm 4.0 mm,Mid/forefoot,True to size,Soft,0,Very bad,Decent,-,Moderate,Medium,Narrow,Moderate,Moderate,Moderate,5.0 mm,38.6 mm 39.4 mm,31.5 mm 35.4 mm,NormalWide,0,All seasons,1,1,-,#159 Top 44%,#22 Top 6%
New Balance,Fresh Foam X More Trail v3,"87
 Great!",$160,ModerateTechnical,Neutral,10.6 oz / 301g 10.6 oz / 301g,0,7.1 mm 4.0 mm,Mid/forefoot,True to size,Soft,0,Very bad,Decent,-,Moderate,Medium,Narrow,Moderate,Moderate,Moderate,5.0 mm,38.6 mm 39.4 mm,31.5 mm 35.4 mm,NormalWide,0,All seasons,1,1,-,#159 Top 44%,#22 Top 6%
New Balance,FuelCell SuperComp Trail,"90
 Superb!",$200,LightModerate,Neutral,8.7 oz / 248g 8.8 oz / 249g,1,13.0 mm 10.0 mm,Heel,Half size small,Soft,Carbon plate,Decent,Decent,Good,Moderate,Medium,Medium,Stiff,Stiff,Moderate,2.9 mm,34.7 mm 36.5 mm,21.7 mm 26.5 mm,Normal,0,All seasons,1,1,-,#65 Top 18%,#319 Bottom 13%
New Balance,FuelCell SuperComp Trail,"90
 Superb!",$200,LightModerate,Neutral,8.7 oz / 248g 8.8 oz / 249g,1,13.0 mm 10.0 mm,Heel,Half size small,Soft,Carbon plate,Decent,Decent,Good,Moderate,Medium,Medium,Stiff,Stiff,Moderate,2.9 mm,34.7 mm 36.5 mm,21.7 mm 26.5 mm,Normal,0,All seasons,1,1,-,#65 Top 18%,#319 Bottom 13%
New Balance,Minimus Trail,"73
 Bad!",$120,Light,Neutral,7.5 oz / 213g 7.9 oz / 224g,1,5.2 mm 4.0 mm,Mid/forefoot,Slightly small,Soft,0,Very good,Good,Good,Moderate,Narrow,Medium,Flexible,Flexible,Flexible,3.3 mm,19.5 mm,14.3 mm,NormalWide,0,All seasons,0,0,-,#359 Bottom 2%,#220 Bottom 40%
New Balance,MT10,"85
 Good!",$110,Light,Neutral,7.1 oz / 200g 7.2 oz / 204g,1,5.0 mm 4.0 mm,Mid/forefoot,Slightly small,Firm,0,Very good,Decent,Good,Moderate,Narrow,Medium,Flexible,Flexible,Flexible,0,15.6 mm 14.0 mm,10.6 mm 10.0 mm,Normal,0,All seasons,0,0,-,#206 Bottom 44%,#104 Top 29%
new Balance,Shando,"76
 Bad!",$90,Moderate,Neutral,12.5 oz / 354g 11 oz / 312g,0,7.3 mm,Mid/forefoot,True to size,-,0,-,-,-,-,Medium,-,Stiff,Flexible,Flexible,4.9 mm,34.7 mm,27.4 mm,Normal,0,-,1,1,-,#345 Bottom 6%,#348 Bottom 5%
New Balance,Tektrel,"76
 Decent!",$90,Light,Neutral,10.7 oz / 302g 9.9 oz / 282g,0,8.0 mm 8.0 mm,HeelMid/forefoot,Half size small,Balanced,0,Good,Decent,Decent,Breathable,Medium,Wide,Stiff,Moderate,Moderate,2.4 mm,32.2 mm 32.0 mm,24.2 mm 24.0 mm,NormalWide,0,SummerAll seasons,1,1,-,#340 Bottom 7%,#177 Top 49%
New Balance,Tektrel,"76
 Bad!",$90,Light,Neutral,10.7 oz / 302g 9.9 oz / 282g,0,8.0 mm 8.0 mm,HeelMid/forefoot,Half size small,Balanced,0,Good,Decent,Decent,Breathable,Medium,Wide,Stiff,Moderate,Moderate,2.4 mm,32.2 mm 32.0 mm,24.2 mm 24.0 mm,NormalWide,0,SummerAll seasons,1,1,-,#341 Bottom 7%,#177 Top 49%
New Balance,Tektrel,"76
 Bad!",$90,Light,Neutral,10.7 oz / 302g 9.9 oz / 282g,0,8.0 mm 8.0 mm,HeelMid/forefoot,Half size small,Balanced,0,Good,Decent,Decent,Breathable,Medium,Wide,Stiff,Moderate,Moderate,2.4 mm,32.2 mm 32.0 mm,24.2 mm 24.0 mm,NormalWide,0,SummerAll seasons,1,1,-,#341 Bottom 7%,#177 Top 49%
New Balance,Tektrel,"76
 Bad!",$90,Light,Neutral,10.7 oz / 302g 9.9 oz / 282g,0,8.0 mm 8.0 mm,HeelMid/forefoot,Half size small,Balanced,0,Good,Decent,Decent,Breathable,Medium,Wide,Stiff,Moderate,Moderate,2.4 mm,32.2 mm 32.0 mm,24.2 mm 24.0 mm,NormalWide,0,SummerAll seasons,1,1,-,#341 Bottom 7%,#177 Top 49%
New Balance,Tektrel,"76
 Bad!",$90,Light,Neutral,10.7 oz / 302g 9.9 oz / 282g,0,8.0 mm 8.0 mm,HeelMid/forefoot,Half size small,Balanced,0,Good,Decent,Decent,Breathable,Medium,Wide,Stiff,Moderate,Moderate,2.4 mm,32.2 mm 32.0 mm,24.2 mm 24.0 mm,NormalWide,0,SummerAll seasons,1,1,-,#341 Bottom 7%,#177 Top 49%
New Balance,Tektrel,"76
 Bad!",$90,Light,Neutral,10.7 oz / 302g 9.9 oz / 282g,0,8.0 mm 8.0 mm,HeelMid/forefoot,Half size small,Balanced,0,Good,Decent,Decent,Breathable,Medium,Wide,Stiff,Moderate,Moderate,2.4 mm,32.2 mm 32.0 mm,24.2 mm 24.0 mm,NormalWide,0,SummerAll seasons,1,1,-,#341 Bottom 7%,#177 Top 49%
New Balance,Tektrel,"76
 Bad!",$90,Light,Neutral,10.7 oz / 302g 9.9 oz / 282g,0,8.0 mm 8.0 mm,HeelMid/forefoot,Half size small,Balanced,0,Good,Decent,Decent,Breathable,Medium,Wide,Stiff,Moderate,Moderate,2.4 mm,32.2 mm 32.0 mm,24.2 mm 24.0 mm,NormalWide,0,SummerAll seasons,1,1,-,#341 Bottom 7%,#177 Top 49%
Nike,Air Zoom Terra Kiger 6,"87
 Great!",$130,Moderate,Neutral,11.2 oz / 317g 10.3 oz / 291g,0,4.4 mm 4.0 mm,Mid/forefoot,-,-,Rock plate,-,-,-,-,Wide,-,Stiff,-,-,4.8 mm,19.6 mm 15.0 mm,15.2 mm 11.0 mm,Normal,0,-,0,0,-,#342 Bottom 47%,#553 Bottom 14%
Nike,Juniper Trail,"79
 Good!",$70,Moderate,Neutral,9.6 oz / 273g 8 oz / 227g,0,7.6 mm 6.0 mm,Mid/forefoot,Slightly small,-,0,-,-,-,-,Medium,-,Stiff,Moderate,Moderate,4.8 mm,26.6 mm 29.0 mm,19.0 mm 23.0 mm,Normal,0,-,1,1,-,#588 Bottom 9%,#397 Bottom 38%
Nike,Juniper Trail 2,"77
 Decent!",$85,Light,Neutral,10.8 oz / 306g 10.4 oz / 295g,0,9.4 mm 9.0 mm,HeelMid/forefoot,True to size,Balanced,0,Decent,Good,Decent,Moderate,Medium,Wide,Stiff,Stiff,Stiff,3.1 mm,34.7 mm 35.0 mm,25.3 mm 26.0 mm,Normal,0,All seasons,1,1,-,#615 Bottom 4%,#260 Top 41%
Nike,Juniper Trail 2 GTX,"75
 Bad!",$130,Light,Neutral,10.3 oz / 293g 11.4 oz / 323g,0,10.2 mm 9.0 mm,Heel,True to size,Firm,0,Very good,Good,Good,Warm,Wide,Wide,Stiff,Stiff,Moderate,2.7 mm,34.5 mm 35.0 mm,24.3 mm 26.0 mm,Normal,0,Winter,1,1,Waterproof,#347 Bottom 5%,#164 Top 45%
Nike,Juniper Trail 2 GTX,"75
 Bad!",$130,Light,Neutral,10.3 oz / 293g 11.4 oz / 323g,0,10.2 mm 9.0 mm,Heel,True to size,Firm,0,Very good,Good,Good,Warm,Wide,Wide,Stiff,Stiff,Moderate,2.7 mm,34.5 mm 35.0 mm,24.3 mm 26.0 mm,Normal,0,Winter,1,1,Waterproof,#347 Bottom 5%,#164 Top 45%
